number,Family,Genus,species,sci_name,variant,sugar_concentration,type,europe,north_america,south_america,africa,asia,australia,reference,notes
52,Bignoniaceae,Catalpa,bignonioides,Catalpa bignonioides,,56.0,wild,yes,yes,,,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
53,Rosaceae,Malus,domestica,Malus spp.,,42.0,crop,yes,yes,yes,yes,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
54,Saxifragaceae,Peltoboykinia,hybrid,Peltoboykinia hybrid,,68.2,,,,,,,,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
55,Fabaceae,Trifolium,repens,Trifolium repens,,34.5,crop,yes,yes,yes,yes,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
56,Tiliaceae,Tilia,europaea,Tilia europaea,,60.6,wild,yes,yes,,,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
57,Lamiaceae,Glechoma,hederacea,Glechoma hederacea,,43.4,weed,yes,yes,yes,yes,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
58,Caprifoliaceae,Lonicera,maackii,Lonicera maackii,,34.7,weed,yes,yes,,,yes,,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
59,Boraginaceae,Echium,vulgare,Echium vulgare,,32.8,weed,yes,yes,yes,yes,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
60,Asclepiadaceae,Asclepias,syriaca,Asclepias syriaca,,32.3,weed,yes,yes,,,,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
61,Rosaceae,Rosa,pimpinellifolia,Rosa pimpinellifolia,,48.0,wild,yes,yes,,,yes,,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
62,Rosaceae,Prunus,mahaleb,Prunus mahaleb,,17.5,crop,yes,yes,,,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
63,Scrophulariaceae,Linaria,vulgaris,Linaria vulgaris,,39.0,weed,yes,yes,yes,yes,yes,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
64,,,Guanacaste mean ,,,48.0,wild,,,,,,,"Baker, H. G. (1975). Sugar concentrations in nectars from hummingbird flowers. Biotropica, 37-41.",
65,,,Mountains mean,,,41.0,wild,,,,,,,"Baker, H. G. (1975). Sugar concentrations in nectars from hummingbird flowers. Biotropica, 37-41.",
66,,,La Selva mean,,,30.0,wild,,,,,,,"Baker, H. G. (1975). Sugar concentrations in nectars from hummingbird flowers. Biotropica, 37-41.",
67,,,California mean,,,31.0,,,,,,,,"Baker, H. G. (1975). Sugar concentrations in nectars from hummingbird flowers. Biotropica, 37-41.",
68,Ranunculaceae,Delphiniium,nuttallianum,Delphiniium nuttallianum,,40.7,wild,,yes,,,,,"Baker, H. G. (1975). Sugar concentrations in nectars from hummingbird flowers. Biotropica, 37-41.",
69,Ranunculaceae,Delphiniium,barbeyi,Delphiniium barbeyi,,54.7,wild,,yes,,,,,"Baker, H. G. (1975). Sugar concentrations in nectars from hummingbird flowers. Biotropica, 37-41.",
70,Lamiaceae,Phlomis,viscosa,Phlomis viscosa,,49.5,wild,,,,,,,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
71,Lamiaceae,Salvia,fruticosa,Salvia fruticosa,,35.9,wild,yes,,,,yes,,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
72,Lamiaceae,Salvia,hierosolymitana,Salvia hierosolymitana,,24.9,wild,yes,,,,,,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
73,Lamiaceae,Salvia,judaica,Salvia judaica,,31.5,wild,yes,,,,,,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
74,Lamiaceae,Stachys,aegyptiaca,Stachys aegyptiaca,,29.8,wild,,,,,,,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
75,Lamiaceae,Rosmarinus,officinalis,Rosmarinus officinalis,,43.7,crop,yes,yes,yes,yes,yes,yes,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
76,Lamiaceae,Thymus,capitatus,Thymus capitatus,,39.5,wild,yes,,,,yes,,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
77,Lamiaceae,Satureja,thymbra,Satureja thymbra,,48.7,wild,yes,,,,,,"Dafni, H., Lensky, Y., & Fahn, A. (1988). Flower and nectar characteristics of nine species of Labiatae and their influence on honeybee visits. Journal of Apicultural Research, 27(2), 103-114.",
78,Rosaceae,Malus,domestica,Malus sp.,,42.0,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
79,Rosaceae,Prunus,persica,Prunus persica,,28.9,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
80,Rosaceae,Prunus,sp.,Prunus sp.,,25.8,crop,,,,,,,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
81,Rosaceae,Pyrus,communis,Pyrus communis,,8.9,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
82,Rosaceae,Prunus,persica,Prunus persica,,25.8,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
83,Rosaceae,Prunus,sp.,Prunus sp.,,37.0,crop,,,,,,,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
84,Sapindaceae,Nephelium,lappaceum,Nephelium lappaceum,,32.5,crop,,,yes,yes,yes,,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
85,Malvaceae,Gossypium,barbadense,Gossypium barbadense,pima,24.0,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
86,Malvaceae,Gossypium,barbadense,Gossypium barbadense,pima,26.0,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
87,Malvaceae,Gossypium,barbadense,Gossypium barbadense,pima A-44,32.0,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
88,Malvaceae,Gossypium,barbadense,Gossypium barbadense,pima 1419-4-2,38.0,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
89,Malvaceae,Gossypium,barbadense,Gossypium barbadense,pima 124-6-8,45.0,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
90,Malvaceae,Gossypium,barbadense,Gossypium barbadense,pima 124-6-6,62.0,crop,yes,yes,yes,yes,yes,yes,"McGregor, S. E. 1976. Insect pollination of cultivated crop plants. U.S. Government Printing Office, Washington, D.C., USA.",
91,Asteraceae,Helianthus,annuus,Helianthus annuus,,40.0,crop,yes,yes,yes,yes,yes,yes,"Rortais, A., Arnold, G., Halm, M. P., & Touffet-Briens, F. (2005). Modes of honeybees exposure to systemic insecticides: estimated amounts of contaminated pollen and nectar consumed by different categories of bees. Apidologie, 36(1), 71-83.",
92,Sapindaceae,Aesculus,hippocastanum,Aesculus hippocastanum,,70.0,wild,yes,yes,,yes,yes,yes,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
93,Sapindaceae,Aesculus,hippocastanum,Aesculus hippocastanum,,66.0,wild,yes,yes,,yes,yes,yes,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
94,Rutaceae,Ruta,graveolens,Ruta graveolens,,60.0,wild,yes,yes,yes,yes,yes,yes,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
95,Apocynaceae,Asclepias,syriaca,Asclepias syriaca,,60.0,weed,yes,yes,,,,yes,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
96,Malvaceae,Tilia,euchlora,Tilia euchlora,,65.0,wild,yes,yes,,,,,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
97,Malvaceae,Tilia,europaea,Tilia europaea,,50.0,wild,yes,yes,,,yes,yes,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
98,Lamiaceae,Origanum,vulgare,Origanum vulgare,,76.0,crop,yes,yes,yes,yes,yes,yes,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
99,Rosaceae,Pyrus,sylvestris,Pyrus sylvestris,,35.0,crop,yes,yes,yes,yes,yes,yes,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
